ID;Descrição;Preço em R$
214;Kit Upgrade, AMD Ryzen 5 4500, Placa Mãe A320m Prime Asus, 8GB DDR4, Neologic - NLI84047;R$ 1.328,40
215;Kit Pc, Intel I5, 2400 Placa Mãe H61 Afox, 16gb Ddr3, Smart Pc - Smt84051.;R$ 563,15
216;Kit Upgrade - Placa-Mãe Storm-Z H510 + Processador I5 10400f + Cooler + VGA GT210;R$ 1.326,00
217;Kit Upgrade Kaikora, Intel Processador I5 11400F + Memória 16GB DDR4, Dual-channel;R$ 2.120,00
218;Kit Pl Mãe H61 + Processador I3 2100 + Memoria 4 Gb Ddr3 + Cooler;R$ 267,97
219;Kit Upgrade, Placa Mãe H61 + Processador I5 3470  + Memoria 16Gb Ddr3 + Cooler;R$ 458,30
220;Kit Powerpc Pl Mãe H61 + Processador I5 3470s  + Cooler;R$ 326,23
221;Kit Upgrade Processador Amd Ryzen™ 7 5700g + Placa Mãe Gigabyte  A520m S2h + Memória 8gb Ddr4;R$ 2.924,99
222;Kit Upgrade Galax Gtx 1660 Super 6gb Com Fonte Safe Gamer 550w Full Modular Pfc Ativo;R$ 1.949,80
223;Kit Upgrade AMD Ryzen 5 5600g, Placa Mãe A320m, 32GB, DDR4, Neologic - NLI84630;R$ 2.411,19
224;Kit Upgrade AMD Ryzen 5 4600g + Placa Mãe A320 + RAM 16GB DDR4;R$ 1.664,99
225;Kit Upgrade Powerpc: Placa Mãe H310 + Processador I5 8500 + Memória 16GB DDR4 + Cooler;R$ 1.172,44
226;Kit Powerpc Placa-Mãe H61 + Processador I3 3220 + Memória 8GB DDR3 + Cooler + M.2 256GB;R$ 447,35
227;Kit Upgrade, Placa Mãe H61 + Processador I3 2100 + Cooler;R$ 251,56
